Temperature,Mean Cluster Radius,Standard Deviation,Grid Size X,Grid Size Y,Time Steps,Beta,Beta Leader,H,P Occupation,P Opinion 1,S Leader,S Mean,N Simulations
0,3.4998052061369855,0.13001717852593314,45,45,20,1,1,0,1,0,400,1,15
5,3.6166956182209096,0.11251425169697499,45,45,20,1,1,0,1,0,400,1,15
10,3.6108204364361143,0.112610431802428,45,45,20,1,1,0,1,0,400,1,15
15,3.610622403133653,0.18796769563865046,45,45,20,1,1,0,1,0,400,1,15
20,3.602437955928601,0.17522782045823476,45,45,20,1,1,0,1,0,400,1,15
25,3.911228412602201,0.15364946935494006,45,45,20,1,1,0,1,0,400,1,15
30,4.2388999236150395,0.2632254825389851,45,45,20,1,1,0,1,0,400,1,15
35,5.014807655252782,0.40981759597278855,45,45,20,1,1,0,1,0,400,1,15
40,5.730905811249885,0.46744564126612076,45,45,20,1,1,0,1,0,400,1,15
42,6.007098918983763,0.4945006781128521,45,45,20,1,1,0,1,0,400,1,15
44,6.414291009403092,0.5674845256913246,45,45,20,1,1,0,1,0,400,1,15
46,9.045992704107258,5.292272422100447,45,45,20,1,1,0,1,0,400,1,15
48,16.56669624016983,6.827382188657164,45,45,20,1,1,0,1,0,400,1,15
50,21.48367519652249,3.793236332253517,45,45,20,1,1,0,1,0,400,1,15
52,22.486563942851383,0.017509327427775914,45,45,20,1,1,0,1,0,400,1,15
54,22.478538355630683,0.020657264813282852,45,45,20,1,1,0,1,0,400,1,15
56,22.473339899509448,0.026073730030078117,45,45,20,1,1,0,1,0,400,1,15
58,22.451130565973184,0.032425471412430455,45,45,20,1,1,0,1,0,400,1,15
60,22.425125783410852,0.030206794486382225,45,45,20,1,1,0,1,0,400,1,15
65,22.380115845199523,0.04038558137725156,45,45,20,1,1,0,1,0,400,1,15
70,22.302681858433097,0.05129065596824979,45,45,20,1,1,0,1,0,400,1,15
75,22.241707375831528,0.04957273091174707,45,45,20,1,1,0,1,0,400,1,15
80,22.18105221649072,0.043626987724262274,45,45,20,1,1,0,1,0,400,1,15
85,22.05194546836442,0.06576102796070325,45,45,20,1,1,0,1,0,400,1,15
90,21.944289203142997,0.0926706357978402,45,45,20,1,1,0,1,0,400,1,15
95,21.87018473097356,0.09314221349042229,45,45,20,1,1,0,1,0,400,1,15
100,21.638016082687493,0.09424395277508421,45,45,20,1,1,0,1,0,400,1,15
125,20.90590106070061,0.15879511547772548,45,45,20,1,1,0,1,0,400,1,15
150,19.96280305965914,0.10233036386946216,45,45,20,1,1,0,1,0,400,1,15
175,18.897471284479202,1.3694775245921462,45,45,20,1,1,0,1,0,400,1,15
200,18.420116145582664,1.0179643858966334,45,45,20,1,1,0,1,0,400,1,15
225,17.786528837944108,0.8222156262429873,45,45,20,1,1,0,1,0,400,1,15
250,17.714452861523107,0.2700523156210497,45,45,20,1,1,0,1,0,400,1,15
275,17.678029206838314,0.21533911761422267,45,45,20,1,1,0,1,0,400,1,15
300,17.126175179321987,0.489388154604561,45,45,20,1,1,0,1,0,400,1,15
